Transaction ID,Date,Category,Product,Quantity,Price,Revenue,Region,Payment Method
10001,2025-10-06,Sports,Yoga Mat,3,1404.61,4213.83,South America,UPI
10002,2026-01-19,Books,Atomic Habits,1,356.35,356.35,North America,Net Banking
10003,2025-05-22,Clothing,Jacket,2,975.48,1950.96,Asia,Debit Card
10004,2025-04-09,Beauty Products,Lipstick,2,297.55,595.1,North America,Credit Card
10005,2026-02-21,Clothing,Jacket,2,301.27,602.54,Africa,UPI
10006,2025-11-30,Beauty Products,Shampoo,5,33.42,167.1,Europe,PayPal
10007,2025-04-19,Beauty Products,Perfume,2,1705.15,3410.3,North America,Debit Card
10008,2025-04-16,Books,Rich Dad Poor Dad,1,329.23,329.23,North America,UPI
10009,2025-11-19,Sports,Tennis Racket,1,632.94,632.94,Asia,PayPal
10010,2025-12-28,Beauty Products,Moisturizer,4,1504.3,6017.2,North America,Debit Card
10011,2026-01-14,Sports,Yoga Mat,3,275.63,826.89,Asia,PayPal
10012,2025-07-20,Sports,Basketball,1,945.82,945.82,South America,Net Banking
10013,2025-07-19,Electronics,iPhone 14,3,1072.32,3216.96,Africa,Debit Card
10014,2025-05-18,Home Appliances,Washing Machine,4,1750.95,7003.8,South America,Net Banking
10015,2025-10-28,Books,Deep Work,1,1226.2,1226.2,North America,Debit Card
10016,2025-12-13,Electronics,iPhone 14,5,858.09,4290.45,North America,PayPal
10017,2025-10-01,Books,Atomic Habits,1,626.3,626.3,Europe,UPI
10018,2026-02-10,Sports,Yoga Mat,5,1201.74,6008.7,North America,PayPal
10019,2026-01-28,Beauty Products,Face Wash,3,1785.29,5355.87,Europe,UPI
10020,2025-05-16,Home Appliances,Vacuum Cleaner,5,1882.49,9412.45,Europe,Credit Card
10021,2026-02-02,Electronics,Dell Laptop,2,126.1,252.2,North America,PayPal
10022,2025-07-26,Books,Atomic Habits,5,435.16,2175.8,Asia,Debit Card
10023,2025-12-18,Home Appliances,Microwave,1,1805.76,1805.76,Europe,UPI
10024,2025-11-25,Beauty Products,Shampoo,2,1564.73,3129.46,Asia,Debit Card
10025,2026-03-29,Home Appliances,Vacuum Cleaner,3,909.01,2727.03,Asia,Net Banking
10026,2025-04-30,Clothing,Adidas Shoes,2,1543.45,3086.9,North America,Debit Card
10027,2026-03-18,Beauty Products,Moisturizer,3,196.75,590.25,Africa,UPI
10028,2025-06-26,Home Appliances,Microwave,1,769.41,769.41,South America,Debit Card
10029,2026-01-01,Electronics,Samsung Galaxy S23,2,716.19,1432.38,Africa,UPI
10030,2026-03-06,Beauty Products,Face Wash,2,894.31,1788.62,South America,Credit Card
10031,2025-10-31,Electronics,Samsung Galaxy S23,3,12.47,37.41,Europe,Debit Card
10032,2025-07-21,Electronics,Dell Laptop,5,1169.68,5848.4,Europe,UPI
10033,2026-04-06,Clothing,Adidas Shoes,4,388.44,1553.76,Asia,Net Banking
10034,2025-11-17,Clothing,Adidas Shoes,1,1814.52,1814.52,Europe,PayPal
10035,2025-11-04,Books,The Alchemist,2,462.36,924.72,Europe,Credit Card
10036,2026-03-07,Beauty Products,Perfume,1,1417.87,1417.87,Europe,Debit Card
10037,2026-03-24,Clothing,Nike T-shirt,5,619.69,3098.45,Europe,Credit Card
10038,2025-09-28,Books,The Alchemist,3,259.07,777.21,Asia,Net Banking
10039,2025-08-26,Sports,Cricket Bat,4,754.08,3016.32,South America,Net Banking
10040,2025-12-05,Electronics,Samsung Galaxy S23,1,1875.26,1875.26,North America,Net Banking
10041,2025-07-04,Electronics,Sony Headphones,2,550.04,1100.08,South America,Debit Card
10042,2025-10-14,Books,Harry Potter,2,800.18,1600.36,North America,PayPal
10043,2025-12-19,Electronics,Sony Headphones,1,143.41,143.41,North America,Credit Card
10044,2025-05-20,Beauty Products,Lipstick,2,1899.69,3799.38,Asia,Credit Card
10045,2025-07-26,Electronics,MacBook Air,4,68.05,272.2,Africa,Debit Card
10046,2026-03-20,Clothing,Jacket,1,1239.25,1239.25,Europe,PayPal
10047,2025-07-01,Electronics,Sony Headphones,3,302.72,908.16,Asia,PayPal
10048,2025-10-06,Home Appliances,Refrigerator,1,1558.99,1558.99,North America,UPI
10049,2025-08-10,Sports,Tennis Racket,5,1460.24,7301.2,Europe,Net Banking
10050,2025-05-15,Clothing,Sweater,1,701.5,701.5,Asia,UPI
10051,2026-02-01,Electronics,Samsung Galaxy S23,5,1241.28,6206.4,Asia,UPI
10052,2026-03-01,Electronics,Sony Headphones,5,950.52,4752.6,Asia,Credit Card
10053,2025-12-17,Home Appliances,Refrigerator,2,886.59,1773.18,North America,Net Banking
10054,2025-04-08,Books,Atomic Habits,1,1354.18,1354.18,Europe,Debit Card
10055,2025-10-28,Books,The Alchemist,1,15.88,15.88,Europe,Net Banking
10056,2026-02-10,Books,Rich Dad Poor Dad,3,1520.1,4560.3,Africa,Credit Card
10057,2025-11-02,Home Appliances,Washing Machine,1,868.33,868.33,Africa,Net Banking
10058,2026-01-10,Clothing,Levi's Jeans,4,1718.79,6875.16,North America,Credit Card
10059,2026-03-17,Clothing,Jacket,1,356.63,356.63,South America,PayPal
10060,2025-08-11,Clothing,Jacket,4,1448.04,5792.16,Asia,Debit Card
